Reference,Qty,Manufacturer,Man. Part Num,Distributor,Dist. Part Num,Value,Package,Part Type
C1,1,KEMET,T491X107K020AT,Digi-Key,399-8409-1-ND,100uF,2917 (7343 Metric),SMD
C2,1,KYOCERA AVX,TAJD336K016RNJ,Digi-Key,478-3930-1-ND,33uF,2917 (7343 Metric),SMD
C3,1,KEMET,T495X157K016ATE100,Digi-Key,399-3898-1-ND,150uF,2917 (7343 Metric),SMD
C4,1,Samsung Electro-Mechanics,CL10B105KO8NNNC,Digi-Key,1276-1019-1-ND,1uF,0603 (1608 Metric),SMD
"C5,C10,C11,C16,C17,C18,C19",7,KEMET,C0603C104K5RAC7411,Digi-Key,399-C0603C104K5RAC7411CT-ND,0.1uF,0603 (1608 Metric),SMD
C6,1,KEMET,C0603C103K5RACTU,Digi-Key,399-C0603C103K5RACTUCT-ND,0.01uF,0603 (1608 Metric),SMD
C7,1,Vishay Sprague,134D107X9125T6,Digi-Key,718-1805-ND,,Axial Can,Through Hole
C12,1,KYOCERA AVX,TAJA225K035RNJ,Digi-Key,478-3073-1-ND,2.2uF,1206 (3216 Metric),SMD
"C13,C15",2,YAGEO,CC0603KRX7R7BB104,Digi-Key,311-1088-1-ND,0.1uF,0603 (1608 Metric),SMD
C14,1,KYOCERA AVX,F921C105MPA,Digi-Key,478-8126-1-ND,1uF,0805 (2012 Metric),SMD
"Chassis,GND,GND,V_{OUT_RTN}",4,Keystone Electronics,5006,Digi-Key,36-5006-ND,,-,-- mixed values --
"CY1,CY2,CY3,CY4",4,KEMET,C1206C472JBTACAUTO,Digi-Key,399-C1206C472JBTACAUTOCT-ND,4700pF,1206 (3216 Metric),SMD
"D1,D2",2,Diotec Semiconductor,1N4004,Digi-Key,4878-1N4004CT-ND,,DO-41,Through Hole
F1,1,Littelfuse Inc.,0438001.WR,Digi-Key,F2947CT-ND,,0603 (1608 Metric),SMD
J1,1,Wurth Elektronik,6.91322E+11,Digi-Key,732-2089-ND,,-,Through Hole
J2,1,Wurth Elektronik,6.91322E+11,Digi-Key,732-2771-ND,,-,Through Hole
J3,1,Wurth Elektronik,6.18009E+11,Digi-Key,732-618009231121-ND,,-,Through Hole
L1,1,Coil Craft,MSD1260T-105,Coil Craft,MSD1260T-105,,-,SMD
"L2,L3",2,Coil Craft,0603PS-153KR_,Coil Craft,0603PS-153KR_,15uH,-,SMD
"M1,M2,M3",3,Toshiba Semiconductor and Storage,"SSM3K15AFS,LF",Digi-Key,SSM3K15AFSLFCT-ND,,SSM_TOS,SMD
"P1,P2",2,TE Connectivity AMP Connectors,1-1123824-1,Digi-Key,A30708-ND,,-,Through Hole
P_Out1,1,Adam Tech,RF2-49B-T-00-50-G-HDW,Mouser,737-RF249BT0050GHDW,,SMA,Through Hole
Q1,1,Isocom Components 2004 LTD,ISP281D,Digi-Key,58-ISP281DCT-ND,,4-SOP,SMD
R1,1,Panasonic Electronic Components,ERA-3AED821V,Digi-Key,10-ERA-3AED821VCT-ND,820,0603 (1608 Metric),SMD
"R2,R11,R13",3,YAGEO,RT0603BRD071KL,Digi-Key,YAG1237CT-ND,1k,0603 (1608 Metric),SMD
R3,1,Rohm Semiconductor,SDR03EZPJ181,Digi-Key,846-SDR03EZPJ181CT-ND,180,0603 (1608 Metric),SMD
R4,1,Panasonic Electronic Components,ERA-3AEB153V,Digi-Key,P15KDBCT-ND,15k,0603 (1608 Metric),SMD
R5,1,Panasonic Electronic Components,ERA-3AEB203V,Digi-Key,P20KDBCT-ND,20k,0603 (1608 Metric),SMD
R6,1,Susumu,RL0816S-R10-F,Digi-Key,408-1420-1-ND,0.1,0603 (1608 Metric),SMD
R7,1,YAGEO,RT0603BRE075KL,Digi-Key,13-RT0603BRE075KLCT-ND,5k,0603 (1608 Metric),SMD
"R8,R15,R19,R23",4,Vishay Dale,TNPW060349R9BEEA,Digi-Key,541-2031-1-ND,49.9,0603 (1608 Metric),SMD
"R9,R14,R18,R22",4,Stackpole Electronics Inc,RNCP0603FTD10K0,Digi-Key,RNCP0603FTD10K0CT-ND,10k,0603 (1608 Metric),SMD
"R10,R24",2,Vishay Dale,TNPW0603100KBEEA,Digi-Key,TNP100KAACT-ND,100k,0603 (1608 Metric),SMD
R12,1,"KOA Speer Electronics, Inc.",RK73H1JTTD2R00F,Digi-Key,2019-RK73H1JTTD2R00FCT-ND,2,0603 (1608 Metric),SMD
R16,1,YAGEO,RT0603FRE07330KL,Digi-Key,13-RT0603FRE07330KLCT-ND,330k,0603 (1608 Metric),SMD
R17,1,Panasonic Electronic Components,ERA-3AEB49R9V,Digi-Key,P49.9DBCT-ND,49.9,0603 (1608 Metric),SMD
R20,1,Vishay Beyschlag/Draloric/BC Components,MBB0207VD1004BC100,Digi-Key,BC4506CT-ND,1M,-,Through Hole
R21,1,"KOA Speer Electronics, Inc.",RN73H1JTTD5302D100,Digi-Key,2019-RN73H1JTTD5302D100CT-ND,53k,0603 (1608 Metric),SMD
R25,1,Vishay Dale,TNPW0603150RBEEA,Digi-Key,541-1994-1-ND,150,0603 (1608 Metric),SMD
"R26,R27",2,DO NOT POPULATE,,,,,,
R28,1,YAGEO,RC0603FR-079K09L,Digi-Key,311-9.09KHRCT-ND,9.09k,0603 (1608 Metric),SMD
U1,1,ULTRAVOLT / Advanced Energy,1/16A12-P4-I5,Digi-Key,633-1/16A12-P4-I5-ND,,-,Through Hole
U3,1,Texas Instruments,SN65LVDS2DBVR,Digi-Key,296-6920-1-ND,,SOT-23-5,SMD
U4,1,Analog Devices Inc.,LT3080EST#PBF,Digi-Key,505-LT3080EST#PBF-ND,,SOT223-3,SMD
"U5,U7",2,Analog Devices Inc.,LTC2050HVCS5#TRMPBF,Digi-Key,505-LTC2050HVCS5#TRMPBFCT-ND,,TSOT23-5,SMD
U6,1,Analog Devices Inc.,LTC2051HVCS8#TRPBF,Digi-Key,LTC2051HVCS8#TRPBFCT-ND,,8-SOIC,SMD
V_{EN},1,Keystone Electronics,5007,Digi-Key,36-5007-ND,,-,Through Hole
V_{SET},1,Keystone Electronics,5010,Digi-Key,36-5010-ND,,-,Through Hole
